datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-11-01 12:10:00,MSFT,411.28,411.32,411.0,411.1,11272.0,411.1629,388
2024-11-01 12:15:00,MSFT,411.13,411.13,410.39,410.39,14904.0,410.751,442
2024-11-01 12:20:00,MSFT,410.23,410.55,410.17,410.4481,10119.0,410.3721,290
2024-11-01 12:25:00,MSFT,410.433,410.433,410.0,410.1127,16719.0,410.1893,712
2024-11-01 12:30:00,MSFT,410.11,410.99,410.0,410.62,16882.0,410.3105,780
2024-11-01 12:35:00,MSFT,410.39,410.52,409.71,410.3,31237.0,410.2702,713
2024-11-01 12:40:00,MSFT,410.55,411.05,410.55,410.78,25026.0,410.8324,640
2024-11-01 12:45:00,MSFT,410.8,410.89,410.08,410.25,15965.0,410.5061,551
2024-11-01 12:50:00,MSFT,410.38,410.42,406.35,410.42,23402.0,408.353,451
2024-11-01 12:55:00,MSFT,410.42,410.5,409.66,409.66,26832.0,410.0393,880
2024-11-01 13:00:00,MSFT,409.77,409.91,409.51,409.52,23074.0,409.7731,943
2024-11-01 13:05:00,MSFT,409.75,409.75,409.25,409.5,28288.0,409.4244,739
2024-11-01 13:10:00,MSFT,409.5,409.5,409.12,409.26,288471.0,406.5311,650
2024-11-01 13:15:00,MSFT,409.3899,409.47,409.257,409.459,6883.0,409.3774,332
2024-11-01 13:20:00,MSFT,409.45,409.5,409.12,409.12,17931.0,409.225,513
2024-11-01 13:25:00,MSFT,409.12,410.93,409.0,409.13,43583.0,409.9015,1719
2024-11-01 13:30:00,MSFT,409.01,410.65,407.5,409.57,1412219.0,409.0422,28501
2024-11-01 13:35:00,MSFT,409.56,410.0,407.8,409.86,901561.0,408.7234,17008
2024-11-01 13:40:00,MSFT,409.81,411.69,409.6845,411.3,710327.0,410.8509,12621
2024-11-01 13:45:00,MSFT,411.3,411.47,409.73,410.15,515094.0,410.5768,10489
2024-11-01 13:50:00,MSFT,410.1,410.6299,409.52,409.96,425014.0,410.0804,8161
2024-11-01 13:55:00,MSFT,409.96,410.84,409.96,410.37,279255.0,410.332,6659
2024-11-01 14:00:00,MSFT,410.47,411.41,410.26,410.46,355106.0,410.9031,8891
2024-11-01 14:05:00,MSFT,410.4851,410.77,409.5515,409.69,312151.0,410.3072,9982
2024-11-01 14:10:00,MSFT,409.7005,410.6171,409.7,410.21,260564.0,410.1376,6506
2024-11-01 14:15:00,MSFT,410.21,411.48,410.21,411.1,363971.0,411.0517,7288
2024-11-01 14:20:00,MSFT,411.085,411.32,410.62,411.17,186625.0,411.018,5299
